age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income,capital
20대,normal,level2, Divorced, Machine-op-inspct, Not-in-family, White, Male,40, United-States,0,zero
30대,normal,level3, Divorced, Other-service, Not-in-family, White, Female,55, United-States,0,negative
30대,normal,level3, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,50, Haiti,0,zero
60대,normal,level3, Divorced, Tech-support, Not-in-family, White, Female,40, United-States,0,zero
20대,normal,level3, Married-civ-spouse, Transport-moving, Husband, White, Male,70, United-States,1,zero
60대,normal,level1, Married-civ-spouse, Farming-fishing, Husband, White, Male,25, United-States,1,zero
50대,normal,level3, Divorced, Prof-specialty, Unmarried, Black, Female,40, United-States,0,negative
70대,normal,level2, Married-civ-spouse, Farming-fishing, Husband, White, Male,40, United-States,0,zero
20대,normal,level3, Married-civ-spouse, Other-service, Other-relative, White, Female,50, Mexico,0,zero
30대,normal,level2, Separated, Handlers-cleaners, Unmarried, White, Male,35, Puerto-Rico,0,zero
40대,normal,level3, Divorced, Priv-house-serv, Not-in-family, White, Female,29, United-States,0,zero
50대,normal,level3, Divorced, Adm-clerical, Not-in-family, White, Female,37, United-States,0,zero
60대,normal,level3, Divorced, Protective-serv, Not-in-family, White, Female,35, United-States,0,zero
50대,normal,level4, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,40, United-States,0,zero
40대,normal,level3, Married-civ-spouse, Farming-fishing, Husband, White, Male,45, United-States,0,zero
30대,normal,level3, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,35, Philippines,0,zero
50대,normal,level1, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Male,40, Mexico,0,zero
10대,normal,level2, Never-married, Other-service, Own-child, White, Female,15, United-States,0,zero
40대,normal,level4, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,40, United-States,1,positive
10대,normal,level3, Never-married,temp, Own-child, White, Male,16, United-States,0,zero
20대,normal,level3, Never-married,temp, Own-child, White, Female,30, United-States,0,zero
50대,normal,level3, Married-civ-spouse, Craft-repair, Husband, White, Male,35, United-States,0,zero
50대,normal,level3, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,0,zero
10대,normal,level1, Never-married, Machine-op-inspct, Own-child, White, Male,40, United-States,0,zero
10대,normal,level3, Never-married,temp, Own-child, Black, Female,20, United-States,0,zero
40대,normal,level2, Married-civ-spouse, Adm-clerical, Husband, White, Male,35,temp,1,zero
30대,normal,level3, Divorced, Sales, Unmarried, White, Female,40, United-States,0,positive
30대,normal,level2, Married-civ-spouse, Transport-moving, Husband, White, Male,60, United-States,0,zero
20대,normal,level3, Never-married, Exec-managerial, Not-in-family, White, Male,50, United-States,0,negative
10대,normal,level2, Never-married, Machine-op-inspct, Other-relative, White, Male,25, United-States,0,positive
20대,normal,level3, Married-civ-spouse, Adm-clerical, Wife, White, Female,65, United-States,0,zero
50대,normal,level3, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States,1,positive
60대,normal,level2, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,10, United-States,0,zero
30대,normal,level2, Married-civ-spouse, Craft-repair, Husband, White, Male,45, United-States,0,zero
40대,normal,level3, Divorced, Sales, Not-in-family, White, Female,50, United-States,0,zero
20대,normal,level4, Married-spouse-absent, Sales, Not-in-family, White, Female,80, United-States,1,zero
20대,normal,level2, Never-married, Sales, Own-child, White, Female,60, United-States,0,zero
20대,normal,level3, Never-married,temp, Own-child, Black, Female,15, Haiti,0,zero
20대,normal,level2, Never-married, Other-service, Not-in-family, White, Female,24, United-States,0,zero
50대,normal,level2, Divorced, Machine-op-inspct, Not-in-family, White, Female,40, United-States,0,zero
30대,normal,level2, Separated, Protective-serv, Not-in-family, White, Male,40, United-States,0,zero
50대,normal,level2, Married-civ-spouse, Exec-managerial, Wife, White, Female,36, United-States,0,zero
30대,normal,level2, Married-civ-spouse, Sales, Husband, White, Male,60, United-States,1,negative
40대,normal,level3, Divorced, Exec-managerial, Not-in-family, White, Male,50, United-States,1,zero
40대,normal,level2, Separated, Handlers-cleaners, Not-in-family, White, Male,40, United-States,0,zero
30대,normal,level3, Never-married, Exec-managerial, Not-in-family, White, Female,60, United-States,0,zero
30대,normal,level2, Never-married, Machine-op-inspct, Other-relative, Black, Male,40, United-States,0,zero
20대,normal,level3, Never-married,temp, Not-in-family, White, Female,12, United-States,0,zero
30대,normal,level3, Never-married, Adm-clerical, Unmarried, Black, Female,40, United-States,0,zero
40대,normal,level2, Divorced, Sales, Not-in-family, White, Female,40, United-States,0,zero
10대,normal,level2, Never-married, Other-service, Not-in-family, White, Male,40, United-States,0,zero
30대,normal,level3, Never-married, Sales, Not-in-family, White, Male,50, United-States,1,positive
40대,normal,level2, Divorced, Sales, Other-relative, White, Female,40, United-States,0,zero
60대,normal,level2, Married-civ-spouse,temp, Husband, White, Male,40, United-States,0,zero
